,activity,name,location,type,unit,code
4615,1242,Recycling of bottles by direct reuse,CY,process,ton,CY-Recycling of bottles by direct reuse
4616,1456,Incineration of waste: Wood,CZ,process,ton,CZ-Incineration of waste: Wood
4617,1385,Precious metals production,CZ,process,ton,CZ-Precious metals production
4618,1590,Re-processing of secondary construction material into aggregates,DK,process,ton,DK-Re-processing of secondary construction material into aggregates
4619,5365,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",RU,process,Meuro,"RU-Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
4620,191,Mining of aluminium ores and concentrates,AT,process,ton,AT-Mining of aluminium ores and concentrates
4621,612,Transport via railways,BR,process,Meuro,BR-Transport via railways
4622,512,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",BR,process,ton,"BR-Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
4623,6070,Cultivation of cereal grains nec,ES,process,ton,ES-Cultivation of cereal grains nec
4624,36,Processing of meat poultry,AU,process,ton,AU-Processing of meat poultry
4625,5733,Landfill of waste: Textiles,SI,process,ton,SI-Landfill of waste: Textiles
4626,1028,Manufacture of fish products,CN,process,ton,CN-Manufacture of fish products
4627,7813,Production of electricity by Geothermal,WM,process,TJ,WM-Production of electricity by Geothermal
4628,6897,Pigs farming,US,process,ton,US-Pigs farming
4629,3159,Manufacture of beverages,IE,process,ton,IE-Manufacture of beverages
4630,7740,Quarrying of sand and clay,WM,process,ton,WM-Quarrying of sand and clay
4631,5036,Retail sale of automotive fuel,PT,process,Meuro,PT-Retail sale of automotive fuel
4632,2048,Re-processing of secondary copper into new copper,FR,process,ton,FR-Re-processing of secondary copper into new copper
4633,6491,Production of electricity by coal,CH,process,TJ,CH-Production of electricity by coal
4634,5335,Manufacture of electrical machinery and apparatus n.e.c.,RU,process,ton,RU-Manufacture of electrical machinery and apparatus n.e.c. (31)
4635,1949,Incineration of waste: Oil/Hazardous waste,FI,process,ton,FI-Incineration of waste: Oil/Hazardous waste
4636,5086,Cultivation of cereal grains nec,RO,process,ton,RO-Cultivation of cereal grains nec
4637,1550,Re-processing of secondary preciuos metals into new preciuos metals,DK,process,ton,DK-Re-processing of secondary preciuos metals into new preciuos metals
4638,4167,"Manufacture of bricks, tiles and construction products, in baked clay",MT,process,ton,"MT-Manufacture of bricks, tiles and construction products, in baked clay"
4639,481,Landfill of waste: Food,BE,process,ton,BE-Landfill of waste: Food
4640,3401,Other land transport,IT,process,Meuro,IT-Other land transport
4641,4627,Processing of meat pigs,NO,process,ton,NO-Processing of meat pigs
4642,5962,"Plastics, basic",KR,process,ton,"KR-Plastics, basic"
4643,1225,"Lead, zinc and tin production",CY,process,ton,"CY-Lead, zinc and tin production"
4644,5092,Cattle farming,RO,process,ton,RO-Cattle farming
4645,199,Processing of meat pigs,AT,process,ton,AT-Processing of meat pigs
4646,4489,P- and other fertiliser,NL,process,ton,NL-P- and other fertiliser
4647,3993,Processing of nuclear fuel,LU,process,TJ,LU-Processing of nuclear fuel
4648,1073,"Manufacture of medical, precision and optical instruments, watches and clocks",CN,process,ton,"CN-Manufacture of medical, precision and optical instruments, watches and clocks (33)"
4649,6400,Cultivation of oil seeds,CH,process,ton,CH-Cultivation of oil seeds
4650,6049,Incineration of waste: Oil/Hazardous waste,KR,process,ton,KR-Incineration of waste: Oil/Hazardous waste
4651,1680,Processed rice,EE,process,ton,EE-Processed rice
4652,2421,Air transport,GR,process,Meuro,GR-Air transport (62)
4653,3426,"Biogasification of food waste, incl. land application",IT,process,ton,"IT-Biogasification of food waste, incl. land application"
4654,1535,Re-processing of secondary plastic into new plastic,DK,process,ton,DK-Re-processing of secondary plastic into new plastic
4655,3375,Production of electricity by coal,IT,process,TJ,IT-Production of electricity by coal
4656,5173,"Manufacture of medical, precision and optical instruments, watches and clocks",RO,process,ton,"RO-Manufacture of medical, precision and optical instruments, watches and clocks (33)"
4657,3600,Landfill of waste: Inert/metal/hazardous,JP,process,ton,JP-Landfill of waste: Inert/metal/hazardous
4658,6081,Raw milk,ES,process,ton,ES-Raw milk
4659,6570,Poultry farming,TR,process,ton,TR-Poultry farming
4660,6696,Public administration and defence; compulsory social security,TR,process,Meuro,TR-Public administration and defence; compulsory social security (75)
4661,1099,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",CN,process,Meuro,"CN-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
4662,6127,Re-processing of secondary plastic into new plastic,ES,process,ton,ES-Re-processing of secondary plastic into new plastic
4663,4550,Transport via pipelines,NL,process,Meuro,NL-Transport via pipelines
4664,1807,"Cultivation of vegetables, fruit, nuts",FI,process,ton,"FI-Cultivation of vegetables, fruit, nuts"
4665,2917,"Insurance and pension funding, except compulsory social security",IN,process,Meuro,"IN-Insurance and pension funding, except compulsory social security (66)"
4666,1446,Research and development,CZ,process,Meuro,CZ-Research and development (73)
4667,1002,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",CN,process,ton,"CN-Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
4668,2051,Casting of metals,FR,process,ton,FR-Casting of metals
4669,3066,Re-processing of secondary construction material into aggregates,ID,process,ton,ID-Re-processing of secondary construction material into aggregates
4670,5401,Landfill of waste: Food,RU,process,ton,RU-Landfill of waste: Food
4671,425,Production of electricity by nuclear,BE,process,TJ,BE-Production of electricity by nuclear
4672,8,Cattle farming,AU,process,ton,AU-Cattle farming
4673,1957,Landfill of waste: Food,FI,process,ton,FI-Landfill of waste: Food
4674,313,"Composting of food waste, incl. land application",AT,process,ton,"AT-Composting of food waste, incl. land application"
4675,3956,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",LU,process,ton,"LU-Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
4676,2034,Manufacture of ceramic goods,FR,process,ton,FR-Manufacture of ceramic goods
4677,1435,Sea and coastal water transport,CZ,process,Meuro,CZ-Sea and coastal water transport
4678,2447,"Waste water treatment, food",GR,process,ton,"GR-Waste water treatment, food"
4679,7571,Mining of aluminium ores and concentrates,WF,process,ton,WF-Mining of aluminium ores and concentrates
4680,6105,Production of meat products nec,ES,process,ton,ES-Production of meat products nec
4681,2989,Production of meat products nec,ID,process,ton,ID-Production of meat products nec
4682,752,Production of electricity by gas,BG,process,TJ,BG-Production of electricity by gas
4683,1169,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",CY,process,ton,"CY-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
4684,5675,Production of electricity by wind,SI,process,TJ,SI-Production of electricity by wind
4685,6231,Extra-territorial organizations and bodies,ES,process,Meuro,ES-Extra-territorial organizations and bodies
4686,5197,Construction,RO,process,Meuro,RO-Construction (45)
4687,4484,Petroleum Refinery,NL,process,ton,NL-Petroleum Refinery
4688,6715,Landfill of waste: Plastic,TR,process,ton,TR-Landfill of waste: Plastic
4689,5044,Inland water transport,PT,process,Meuro,PT-Inland water transport
4690,5646,Manufacture of other non-metallic mineral products n.e.c.,SI,process,ton,SI-Manufacture of other non-metallic mineral products n.e.c.
4691,5532,Transport via railways,SK,process,Meuro,SK-Transport via railways
4692,7633,"Manufacture of medical, precision and optical instruments, watches and clocks",WF,process,ton,"WF-Manufacture of medical, precision and optical instruments, watches and clocks (33)"
4693,2438,Incineration of waste: Metals and Inert materials,GR,process,ton,GR-Incineration of waste: Metals and Inert materials
4694,1823,Mining of coal and lignite; extraction of peat,FI,process,ton,FI-Mining of coal and lignite; extraction of peat (10)
4695,6243,Meat animals nec,SE,process,ton,SE-Meat animals nec
4696,851,Quarrying of stone,CA,process,ton,CA-Quarrying of stone
4697,3271,Landfill of waste: Plastic,IE,process,ton,IE-Landfill of waste: Plastic
4698,2014,Manufacture of textiles,FR,process,ton,FR-Manufacture of textiles (17)
4699,5199,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",RO,process,Meuro,"RO-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
4700,633,Incineration of waste: Plastic,BR,process,ton,BR-Incineration of waste: Plastic
4701,3979,Manufacture of beverages,LU,process,ton,LU-Manufacture of beverages
4702,2011,Manufacture of beverages,FR,process,ton,FR-Manufacture of beverages
4703,7186,Research and development,WA,process,Meuro,WA-Research and development (73)
4704,1136,"Waste water treatment, other",CN,process,ton,"CN-Waste water treatment, other"
4705,7482,Production of electricity by solar photovoltaic,WE,process,TJ,WE-Production of electricity by solar photovoltaic
4706,5282,Processing of meat cattle,RU,process,ton,RU-Processing of meat cattle
4707,7114,Chemicals nec,WA,process,ton,WA-Chemicals nec
4708,6430,Processing of meat cattle,CH,process,ton,CH-Processing of meat cattle
4709,6869,Incineration of waste: Oil/Hazardous waste,GB,process,ton,GB-Incineration of waste: Oil/Hazardous waste
4710,6213,Incineration of waste: Oil/Hazardous waste,ES,process,ton,ES-Incineration of waste: Oil/Hazardous waste
4711,5164,Re-processing of secondary copper into new copper,RO,process,ton,RO-Re-processing of secondary copper into new copper
4712,883,Manufacture of rubber and plastic products,CA,process,ton,CA-Manufacture of rubber and plastic products (25)
4713,1131,"Biogasification of paper, incl. land application",CN,process,ton,"CN-Biogasification of paper, incl. land application"
4714,3565,Other land transport,JP,process,Meuro,JP-Other land transport
4715,7598,"Publishing, printing and reproduction of recorded media",WF,process,ton,"WF-Publishing, printing and reproduction of recorded media (22)"
4716,5300,Re-processing of secondary paper into new pulp,RU,process,ton,RU-Re-processing of secondary paper into new pulp
4717,1917,Construction,FI,process,Meuro,FI-Construction (45)
4718,6200,Renting of machinery and equipment without operator and of personal and household goods,ES,process,Meuro,ES-Renting of machinery and equipment without operator and of personal and household goods (71)
4719,2804,"Manure treatment (biogas), storage and land application",IN,process,ton,"IN-Manure treatment (biogas), storage and land application"
4720,5914,Poultry farming,KR,process,ton,KR-Poultry farming
4721,2812,Mining of iron ores,IN,process,ton,IN-Mining of iron ores
4722,965,Incineration of waste: Oil/Hazardous waste,CA,process,ton,CA-Incineration of waste: Oil/Hazardous waste
4723,3,"Cultivation of vegetables, fruit, nuts",AU,process,ton,"AU-Cultivation of vegetables, fruit, nuts"
4724,7860,"Waste water treatment, other",WM,process,ton,"WM-Waste water treatment, other"
4725,6375,Incineration of waste: Textiles,SE,process,ton,SE-Incineration of waste: Textiles
4726,5678,Production of electricity by solar photovoltaic,SI,process,TJ,SI-Production of electricity by solar photovoltaic
4727,1339,Mining of aluminium ores and concentrates,CZ,process,ton,CZ-Mining of aluminium ores and concentrates
4728,2370,Re-processing of secondary preciuos metals into new preciuos metals,GR,process,ton,GR-Re-processing of secondary preciuos metals into new preciuos metals
4729,4518,"Manufacture of motor vehicles, trailers and semi-trailers",NL,process,Meuro,"NL-Manufacture of motor vehicles, trailers and semi-trailers (34)"
4730,7198,"Biogasification of food waste, incl. land application",WA,process,ton,"WA-Biogasification of food waste, incl. land application"
4731,7328,"Collection, purification and distribution of water",WL,process,Meuro,"WL-Collection, purification and distribution of water (41)"
4732,3023,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,ID,process,ton,ID-Manufacture of basic iron and steel and of ferro-alloys and first products thereof
4733,1420,Distribution and trade of electricity,CZ,process,Meuro,CZ-Distribution and trade of electricity
4734,3943,Cultivation of crops nec,LU,process,ton,LU-Cultivation of crops nec
4735,6618,"Plastics, basic",TR,process,ton,"TR-Plastics, basic"
4736,5708,Renting of machinery and equipment without operator and of personal and household goods,SI,process,Meuro,SI-Renting of machinery and equipment without operator and of personal and household goods (71)
4737,7686,Incineration of waste: Metals and Inert materials,WF,process,ton,WF-Incineration of waste: Metals and Inert materials
4738,809,Landfill of waste: Food,BG,process,ton,BG-Landfill of waste: Food
4739,5690,Re-processing of secondary construction material into aggregates,SI,process,ton,SI-Re-processing of secondary construction material into aggregates
4740,1639,Extra-territorial organizations and bodies,DK,process,Meuro,DK-Extra-territorial organizations and bodies
4741,5683,Transmission of electricity,SI,process,Meuro,SI-Transmission of electricity
4742,4528,Production of electricity by petroleum and other oil derivatives,NL,process,TJ,NL-Production of electricity by petroleum and other oil derivatives
4743,3337,Processing of nuclear fuel,IT,process,TJ,IT-Processing of nuclear fuel
4744,6943,Manufacture of coke oven products,US,process,ton,US-Manufacture of coke oven products
4745,6057,Landfill of waste: Food,KR,process,ton,KR-Landfill of waste: Food
4746,1970,Cultivation of cereal grains nec,FR,process,ton,FR-Cultivation of cereal grains nec
4747,4409,Incineration of waste: Oil/Hazardous waste,MX,process,ton,MX-Incineration of waste: Oil/Hazardous waste
4748,5423,Meat animals nec,SK,process,ton,SK-Meat animals nec
4749,4530,Production of electricity by solar photovoltaic,NL,process,TJ,NL-Production of electricity by solar photovoltaic
4750,3341,P- and other fertiliser,IT,process,ton,IT-P- and other fertiliser
4751,2379,Casting of metals,GR,process,ton,GR-Casting of metals
4752,470,Incineration of waste: Metals and Inert materials,BE,process,ton,BE-Incineration of waste: Metals and Inert materials
4753,6613,Paper,TR,process,ton,TR-Paper
4754,4426,Private households with employed persons,MX,process,Meuro,MX-Private households with employed persons (95)
4755,2334,Processing vegetable oils and fats,GR,process,ton,GR-Processing vegetable oils and fats
4756,3910,Health and social work,LT,process,Meuro,LT-Health and social work (85)
4757,7360,Incineration of waste: Wood,WL,process,ton,WL-Incineration of waste: Wood
4758,5553,Incineration of waste: Plastic,SK,process,ton,SK-Incineration of waste: Plastic
4759,7667,Sea and coastal water transport,WF,process,Meuro,WF-Sea and coastal water transport
4760,195,Quarrying of stone,AT,process,ton,AT-Quarrying of stone
4761,3080,"Financial intermediation, except insurance and pension funding",ID,process,Meuro,"ID-Financial intermediation, except insurance and pension funding (65)"
4762,6687,Post and telecommunications,TR,process,Meuro,TR-Post and telecommunications (64)
4763,3466,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",JP,process,ton,"JP-Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
4764,559,"Manufacture of bricks, tiles and construction products, in baked clay",BR,process,ton,"BR-Manufacture of bricks, tiles and construction products, in baked clay"
