,activity,name,location,type,unit,code
0,1462,"Composting of paper and wood, incl. land application",CZ,process,ton,"CZ-Composting of paper and wood, incl. land application"
1,6202,Research and development,ES,process,Meuro,ES-Research and development (73)
2,2162,Mining of other non-ferrous metal ores and concentrates,DE,process,ton,DE-Mining of other non-ferrous metal ores and concentrates
3,5308,N-fertiliser,RU,process,ton,RU-N-fertiliser
4,328,Cultivation of paddy rice,BE,process,ton,BE-Cultivation of paddy rice
5,3052,Production of electricity by petroleum and other oil derivatives,ID,process,TJ,ID-Production of electricity by petroleum and other oil derivatives
6,2801,Raw milk,IN,process,ton,IN-Raw milk
7,1835,Quarrying of stone,FI,process,ton,FI-Quarrying of stone
8,4716,Inland water transport,NO,process,Meuro,NO-Inland water transport
9,4395,Real estate activities,MX,process,Meuro,MX-Real estate activities (70)
10,3390,Distribution of gaseous fuels through mains,IT,process,Meuro,IT-Distribution of gaseous fuels through mains
11,973,Landfill of waste: Food,CA,process,ton,CA-Landfill of waste: Food
12,4751,Activities of membership organisation n.e.c.,NO,process,Meuro,NO-Activities of membership organisation n.e.c. (91)
13,3719,Steam and hot water supply,LV,process,TJ,LV-Steam and hot water supply
14,6188,Transport via railways,ES,process,Meuro,ES-Transport via railways
15,2348,Re-processing of secondary paper into new pulp,GR,process,ton,GR-Re-processing of secondary paper into new pulp
16,80,Re-processing of secondary copper into new copper,AU,process,ton,AU-Re-processing of secondary copper into new copper
17,1674,Processing of meat cattle,EE,process,ton,EE-Processing of meat cattle
18,6569,Pigs farming,TR,process,ton,TR-Pigs farming
19,2631,Cultivation of crops nec,HR,process,ton,HR-Cultivation of crops nec
20,6091,Mining of uranium and thorium ores,ES,process,ton,ES-Mining of uranium and thorium ores (12)
21,3731,Sea and coastal water transport,LV,process,Meuro,LV-Sea and coastal water transport
22,7685,Incineration of waste: Plastic,WF,process,ton,WF-Incineration of waste: Plastic
23,6268,Processing of meat poultry,SE,process,ton,SE-Processing of meat poultry
24,1344,Quarrying of sand and clay,CZ,process,ton,CZ-Quarrying of sand and clay
25,4587,Activities of membership organisation n.e.c.,NL,process,Meuro,NL-Activities of membership organisation n.e.c. (91)
26,5019,Production of electricity by wind,PT,process,TJ,PT-Production of electricity by wind
27,3084,Renting of machinery and equipment without operator and of personal and household goods,ID,process,Meuro,ID-Renting of machinery and equipment without operator and of personal and household goods (71)
28,2178,Manufacture of textiles,DE,process,ton,DE-Manufacture of textiles (17)
29,5640,Manufacture of glass and glass products,SI,process,ton,SI-Manufacture of glass and glass products
30,3467,Mining of uranium and thorium ores,JP,process,ton,JP-Mining of uranium and thorium ores (12)
31,7577,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",WF,process,ton,"WF-Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
32,6447,Pulp,CH,process,ton,CH-Pulp
33,7757,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",WM,process,ton,"WM-Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
34,7495,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",WE,process,Meuro,"WE-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
35,4516,"Manufacture of radio, television and communication equipment and apparatus",NL,process,ton,"NL-Manufacture of radio, television and communication equipment and apparatus (32)"
36,1234,Manufacture of office machinery and computers,CY,process,ton,CY-Manufacture of office machinery and computers (30)
37,3492,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",JP,process,ton,"JP-Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
38,5539,Post and telecommunications,SK,process,Meuro,SK-Post and telecommunications (64)
39,5849,Manufacture of gas;,ZA,process,ton,ZA-Manufacture of gas;
40,580,"Manufacture of radio, television and communication equipment and apparatus",BR,process,ton,"BR-Manufacture of radio, television and communication equipment and apparatus (32)"
41,3436,Landfill of waste: Inert/metal/hazardous,IT,process,ton,IT-Landfill of waste: Inert/metal/hazardous
42,6030,Supporting and auxiliary transport activities; activities of travel agencies,KR,process,Meuro,KR-Supporting and auxiliary transport activities; activities of travel agencies (63)
43,3209,Recycling of waste and scrap,IE,process,Meuro,IE-Recycling of waste and scrap
44,1985,"Forestry, logging and related service activities",FR,process,ton,"FR-Forestry, logging and related service activities (02)"
45,3924,"Waste water treatment, other",LT,process,ton,"LT-Waste water treatment, other"
46,3431,"Waste water treatment, food",IT,process,ton,"IT-Waste water treatment, food"
47,5727,"Waste water treatment, food",SI,process,ton,"SI-Waste water treatment, food"
48,4573,Incineration of waste: Oil/Hazardous waste,NL,process,ton,NL-Incineration of waste: Oil/Hazardous waste
49,2325,"Mining of lead, zinc and tin ores and concentrates",GR,process,ton,"GR-Mining of lead, zinc and tin ores and concentrates"
50,6289,Processing of nuclear fuel,SE,process,TJ,SE-Processing of nuclear fuel
51,4305,Sugar refining,MX,process,ton,MX-Sugar refining
52,2984,Quarrying of sand and clay,ID,process,ton,ID-Quarrying of sand and clay
53,4712,Transport via railways,NO,process,Meuro,NO-Transport via railways
54,41,Sugar refining,AU,process,ton,AU-Sugar refining
55,4373,Manufacture of gas;,MX,process,ton,MX-Manufacture of gas;
56,3873,Production of electricity by biomass and waste,LT,process,TJ,LT-Production of electricity by biomass and waste
57,2315,Mining of coal and lignite; extraction of peat,GR,process,ton,GR-Mining of coal and lignite; extraction of peat (10)
58,4748,Landfill of waste: Inert/metal/hazardous,NO,process,ton,NO-Landfill of waste: Inert/metal/hazardous
59,739,Casting of metals,BG,process,ton,BG-Casting of metals
60,5142,"Plastics, basic",RO,process,ton,"RO-Plastics, basic"
61,1772,Renting of machinery and equipment without operator and of personal and household goods,EE,process,Meuro,EE-Renting of machinery and equipment without operator and of personal and household goods (71)
62,4392,"Financial intermediation, except insurance and pension funding",MX,process,Meuro,"MX-Financial intermediation, except insurance and pension funding (65)"
63,6889,Cultivation of wheat,US,process,ton,US-Cultivation of wheat
64,6776,Re-processing of secondary paper into new pulp,GB,process,ton,GB-Re-processing of secondary paper into new pulp
65,860,Processed rice,CA,process,ton,CA-Processed rice
66,193,"Mining of lead, zinc and tin ores and concentrates",AT,process,ton,"AT-Mining of lead, zinc and tin ores and concentrates"
67,7771,Manufacture of rubber and plastic products,WM,process,ton,WM-Manufacture of rubber and plastic products (25)
68,350,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",BE,process,ton,"BE-Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
69,3646,Processing vegetable oils and fats,LV,process,ton,LV-Processing vegetable oils and fats
70,7019,Real estate activities,US,process,Meuro,US-Real estate activities (70)
71,6648,"Manufacture of radio, television and communication equipment and apparatus",TR,process,ton,"TR-Manufacture of radio, television and communication equipment and apparatus (32)"
72,6480,"Manufacture of fabricated metal products, except machinery and equipment",CH,process,ton,"CH-Manufacture of fabricated metal products, except machinery and equipment (28)"
73,4285,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",MX,process,ton,"MX-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
74,7146,Recycling of bottles by direct reuse,WA,process,ton,WA-Recycling of bottles by direct reuse
75,1591,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",DK,process,Meuro,"DK-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
76,411,Casting of metals,BE,process,ton,BE-Casting of metals
77,2985,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",ID,process,ton,"ID-Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
78,1415,Production of electricity by solar thermal,CZ,process,TJ,CZ-Production of electricity by solar thermal
79,6836,"Collection, purification and distribution of water",GB,process,Meuro,"GB-Collection, purification and distribution of water (41)"
80,3864,Manufacture of furniture; manufacturing n.e.c.,LT,process,ton,LT-Manufacture of furniture; manufacturing n.e.c. (36)
81,3952,"Manure treatment (biogas), storage and land application",LU,process,ton,"LU-Manure treatment (biogas), storage and land application"
82,1048,Manufacture of glass and glass products,CN,process,ton,CN-Manufacture of glass and glass products
83,5616,Processed rice,SI,process,ton,SI-Processed rice
84,882,Chemicals nec,CA,process,ton,CA-Chemicals nec
85,4574,"Biogasification of food waste, incl. land application",NL,process,ton,"NL-Biogasification of food waste, incl. land application"
86,974,Landfill of waste: Paper,CA,process,ton,CA-Landfill of waste: Paper
87,113,Construction,AU,process,Meuro,AU-Construction (45)
88,3196,Re-processing of secondary copper into new copper,IE,process,ton,IE-Re-processing of secondary copper into new copper
89,797,Incineration of waste: Plastic,BG,process,ton,BG-Incineration of waste: Plastic
90,5922,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",KR,process,ton,"KR-Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
91,7535,Landfill of waste: Plastic,WE,process,ton,WE-Landfill of waste: Plastic
92,6873,"Composting of food waste, incl. land application",GB,process,ton,"GB-Composting of food waste, incl. land application"
93,7693,"Composting of food waste, incl. land application",WF,process,ton,"WF-Composting of food waste, incl. land application"
94,5111,Mining of aluminium ores and concentrates,RO,process,ton,RO-Mining of aluminium ores and concentrates
95,2374,Re-processing of secondary lead into new lead,GR,process,ton,GR-Re-processing of secondary lead into new lead
96,4298,Processing of meat cattle,MX,process,ton,MX-Processing of meat cattle
97,3381,Production of electricity by biomass and waste,IT,process,TJ,IT-Production of electricity by biomass and waste
98,6028,Inland water transport,KR,process,Meuro,KR-Inland water transport
99,713,Processing of nuclear fuel,BG,process,TJ,BG-Processing of nuclear fuel
100,6477,Other non-ferrous metal production,CH,process,ton,CH-Other non-ferrous metal production
101,7612,"Manufacture of cement, lime and plaster",WF,process,ton,"WF-Manufacture of cement, lime and plaster"
102,1572,Production of electricity by gas,DK,process,TJ,DK-Production of electricity by gas
103,6796,Re-processing of secondary steel into new steel,GB,process,ton,GB-Re-processing of secondary steel into new steel
104,2616,Landfill of waste: Inert/metal/hazardous,HU,process,ton,HU-Landfill of waste: Inert/metal/hazardous
105,7392,Animal products nec,WE,process,ton,WE-Animal products nec
106,6029,Air transport,KR,process,Meuro,KR-Air transport (62)
107,5655,Copper production,SI,process,ton,SI-Copper production
108,5433,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",SK,process,ton,"SK-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
109,6575,"Manure treatment (conventional), storage and land application",TR,process,ton,"TR-Manure treatment (conventional), storage and land application"
110,7653,Manufacture of gas;,WF,process,ton,WF-Manufacture of gas;
111,3751,Incineration of waste: Textiles,LV,process,ton,LV-Incineration of waste: Textiles
112,6933,Manufacture of tobacco products,US,process,ton,US-Manufacture of tobacco products (16)
113,4008,Re-processing of secondary steel into new steel,LU,process,ton,LU-Re-processing of secondary steel into new steel
114,7052,Cultivation of paddy rice,WA,process,ton,WA-Cultivation of paddy rice
115,2712,"Manufacture of radio, television and communication equipment and apparatus",HR,process,ton,"HR-Manufacture of radio, television and communication equipment and apparatus (32)"
116,521,"Mining of lead, zinc and tin ores and concentrates",BR,process,ton,"BR-Mining of lead, zinc and tin ores and concentrates"
117,5800,N-fertiliser,ZA,process,ton,ZA-N-fertiliser
118,2514,"Publishing, printing and reproduction of recorded media",HU,process,ton,"HU-Publishing, printing and reproduction of recorded media (22)"
119,979,Activities of membership organisation n.e.c.,CA,process,Meuro,CA-Activities of membership organisation n.e.c. (91)
120,889,Re-processing of ash into clinker,CA,process,ton,CA-Re-processing of ash into clinker
121,514,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",BR,process,ton,"BR-Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
122,3153,Production of meat products nec,IE,process,ton,IE-Production of meat products nec
123,3599,Landfill of waste: Plastic,JP,process,ton,JP-Landfill of waste: Plastic
124,6930,Processing of Food products nec,US,process,ton,US-Processing of Food products nec
125,84,"Manufacture of fabricated metal products, except machinery and equipment",AU,process,ton,"AU-Manufacture of fabricated metal products, except machinery and equipment (28)"
126,568,Re-processing of secondary aluminium into new aluminium,BR,process,ton,BR-Re-processing of secondary aluminium into new aluminium
127,3313,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",IT,process,ton,"IT-Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
128,162,Private households with employed persons,AU,process,Meuro,AU-Private households with employed persons (95)
129,2562,Production of electricity by solar photovoltaic,HU,process,TJ,HU-Production of electricity by solar photovoltaic
130,1439,Post and telecommunications,CZ,process,Meuro,CZ-Post and telecommunications (64)
131,1576,Production of electricity by petroleum and other oil derivatives,DK,process,TJ,DK-Production of electricity by petroleum and other oil derivatives
132,1279,Real estate activities,CY,process,Meuro,CY-Real estate activities (70)
133,3244,"Financial intermediation, except insurance and pension funding",IE,process,Meuro,"IE-Financial intermediation, except insurance and pension funding (65)"
134,2615,Landfill of waste: Plastic,HU,process,ton,HU-Landfill of waste: Plastic
135,3161,Manufacture of tobacco products,IE,process,ton,IE-Manufacture of tobacco products (16)
136,7701,Landfill of waste: Textiles,WF,process,ton,WF-Landfill of waste: Textiles
137,1029,Manufacture of tobacco products,CN,process,ton,CN-Manufacture of tobacco products (16)
138,2584,Inland water transport,HU,process,Meuro,HU-Inland water transport
139,5982,Re-processing of secondary lead into new lead,KR,process,ton,KR-Re-processing of secondary lead into new lead
140,3333,Paper,IT,process,ton,IT-Paper
141,146,"Biogasification of food waste, incl. land application",AU,process,ton,"AU-Biogasification of food waste, incl. land application"
142,7489,Manufacture of gas;,WE,process,ton,WE-Manufacture of gas;
143,6299,"Manufacture of bricks, tiles and construction products, in baked clay",SE,process,ton,"SE-Manufacture of bricks, tiles and construction products, in baked clay"
144,5594,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",SI,process,ton,"SI-Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
145,1098,Re-processing of secondary construction material into aggregates,CN,process,ton,CN-Re-processing of secondary construction material into aggregates
146,2621,Other service activities,HU,process,Meuro,HU-Other service activities (93)
147,1759,Hotels and restaurants,EE,process,Meuro,EE-Hotels and restaurants (55)
148,4046,Distribution of gaseous fuels through mains,LU,process,Meuro,LU-Distribution of gaseous fuels through mains
149,7845,Education,WM,process,Meuro,WM-Education (80)
150,6060,Landfill of waste: Inert/metal/hazardous,KR,process,ton,KR-Landfill of waste: Inert/metal/hazardous
151,764,Distribution and trade of electricity,BG,process,Meuro,BG-Distribution and trade of electricity
152,3142,Mining of nickel ores and concentrates,IE,process,ton,IE-Mining of nickel ores and concentrates
153,3280,Cultivation of paddy rice,IT,process,ton,IT-Cultivation of paddy rice
154,3866,Recycling of bottles by direct reuse,LT,process,ton,LT-Recycling of bottles by direct reuse
155,1637,Other service activities,DK,process,Meuro,DK-Other service activities (93)
156,7093,Sugar refining,WA,process,ton,WA-Sugar refining
157,1265,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",CY,process,Meuro,"CY-Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
158,3622,"Wool, silk-worm cocoons",LV,process,ton,"LV-Wool, silk-worm cocoons"
159,6870,"Biogasification of food waste, incl. land application",GB,process,ton,"GB-Biogasification of food waste, incl. land application"
160,1201,Paper,CY,process,ton,CY-Paper
161,5148,Manufacture of glass and glass products,RO,process,ton,RO-Manufacture of glass and glass products
162,1391,Copper production,CZ,process,ton,CZ-Copper production
163,4402,Health and social work,MX,process,Meuro,MX-Health and social work (85)
164,2851,Manufacture of rubber and plastic products,IN,process,ton,IN-Manufacture of rubber and plastic products (25)
165,3707,Production of electricity by wind,LV,process,TJ,LV-Production of electricity by wind
166,6643,Casting of metals,TR,process,ton,TR-Casting of metals
167,7795,Manufacture of electrical machinery and apparatus n.e.c.,WM,process,ton,WM-Manufacture of electrical machinery and apparatus n.e.c. (31)
168,4500,Re-processing of secondary steel into new steel,NL,process,ton,NL-Re-processing of secondary steel into new steel
169,3358,Re-processing of secondary lead into new lead,IT,process,ton,IT-Re-processing of secondary lead into new lead
170,3881,Manufacture of gas;,LT,process,ton,LT-Manufacture of gas;
171,6206,Health and social work,ES,process,Meuro,ES-Health and social work (85)
172,5250,Cultivation of cereal grains nec,RU,process,ton,RU-Cultivation of cereal grains nec
173,6532,Public administration and defence; compulsory social security,CH,process,Meuro,CH-Public administration and defence; compulsory social security (75)
174,5651,Aluminium production,SI,process,ton,SI-Aluminium production
175,4320,Petroleum Refinery,MX,process,ton,MX-Petroleum Refinery
176,1210,Chemicals nec,CY,process,ton,CY-Chemicals nec
177,4142,Processing of Food products nec,MT,process,ton,MT-Processing of Food products nec
178,3758,"Composting of paper and wood, incl. land application",LV,process,ton,"LV-Composting of paper and wood, incl. land application"
179,774,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",BG,process,Meuro,"BG-Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
180,229,Re-processing of secondary glass into new glass,AT,process,ton,AT-Re-processing of secondary glass into new glass
181,2856,"Manufacture of cement, lime and plaster",IN,process,ton,"IN-Manufacture of cement, lime and plaster"
182,4624,Quarrying of sand and clay,NO,process,ton,NO-Quarrying of sand and clay
183,5527,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",SK,process,Meuro,"SK-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
184,7382,Cultivation of cereal grains nec,WE,process,ton,WE-Cultivation of cereal grains nec
185,6698,Health and social work,TR,process,Meuro,TR-Health and social work (85)
186,5059,Incineration of waste: Food,PT,process,ton,PT-Incineration of waste: Food
187,2735,Steam and hot water supply,HR,process,TJ,HR-Steam and hot water supply
188,1745,Production of electricity by Geothermal,EE,process,TJ,EE-Production of electricity by Geothermal
189,1277,"Insurance and pension funding, except compulsory social security",CY,process,Meuro,"CY-Insurance and pension funding, except compulsory social security (66)"
190,500,Cattle farming,BR,process,ton,BR-Cattle farming
191,4393,"Insurance and pension funding, except compulsory social security",MX,process,Meuro,"MX-Insurance and pension funding, except compulsory social security (66)"
192,2837,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",IN,process,ton,"IN-Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)"
193,1117,Computer and related activities,CN,process,Meuro,CN-Computer and related activities (72)
194,6626,Manufacture of ceramic goods,TR,process,ton,TR-Manufacture of ceramic goods
195,1558,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,DK,process,ton,DK-Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
196,2561,Production of electricity by biomass and waste,HU,process,TJ,HU-Production of electricity by biomass and waste
197,1607,Real estate activities,DK,process,Meuro,DK-Real estate activities (70)
198,7853,Incineration of waste: Oil/Hazardous waste,WM,process,ton,WM-Incineration of waste: Oil/Hazardous waste
199,3480,Processing of meat poultry,JP,process,ton,JP-Processing of meat poultry
200,4806,Re-processing of secondary wood material into new wood material,PL,process,ton,PL-Re-processing of secondary wood material into new wood material
201,192,Mining of precious metal ores and concentrates,AT,process,ton,AT-Mining of precious metal ores and concentrates
202,6504,Distribution and trade of electricity,CH,process,Meuro,CH-Distribution and trade of electricity
203,6382,"Composting of paper and wood, incl. land application",SE,process,ton,"SE-Composting of paper and wood, incl. land application"
204,4212,"Collection, purification and distribution of water",MT,process,Meuro,"MT-Collection, purification and distribution of water (41)"
205,5666,"Manufacture of motor vehicles, trailers and semi-trailers",SI,process,Meuro,"SI-Manufacture of motor vehicles, trailers and semi-trailers (34)"
206,1202,"Publishing, printing and reproduction of recorded media",CY,process,ton,"CY-Publishing, printing and reproduction of recorded media (22)"
207,2276,Incineration of waste: Wood,DE,process,ton,DE-Incineration of waste: Wood
208,6512,Retail sale of automotive fuel,CH,process,Meuro,CH-Retail sale of automotive fuel
209,1755,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",EE,process,Meuro,"EE-Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
210,4328,Manufacture of glass and glass products,MX,process,ton,MX-Manufacture of glass and glass products
211,6291,Re-processing of secondary plastic into new plastic,SE,process,ton,SE-Re-processing of secondary plastic into new plastic
212,1214,Manufacture of ceramic goods,CY,process,ton,CY-Manufacture of ceramic goods
213,6837,Construction,GB,process,Meuro,GB-Construction (45)
214,3768,"Recreational, cultural and sporting activities",LV,process,Meuro,"LV-Recreational, cultural and sporting activities (92)"
215,4255,Landfill of waste: Plastic,MT,process,ton,MT-Landfill of waste: Plastic
216,5899,Activities of membership organisation n.e.c.,ZA,process,Meuro,ZA-Activities of membership organisation n.e.c. (91)
217,1207,Re-processing of secondary plastic into new plastic,CY,process,ton,CY-Re-processing of secondary plastic into new plastic
218,5723,"Biogasification of paper, incl. land application",SI,process,ton,"SI-Biogasification of paper, incl. land application"
219,3701,Recycling of waste and scrap,LV,process,Meuro,LV-Recycling of waste and scrap
220,3725,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",LV,process,Meuro,"LV-Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)"
221,7056,Cultivation of oil seeds,WA,process,ton,WA-Cultivation of oil seeds
222,7014,Supporting and auxiliary transport activities; activities of travel agencies,US,process,Meuro,US-Supporting and auxiliary transport activities; activities of travel agencies (63)
223,6493,Production of electricity by nuclear,CH,process,TJ,CH-Production of electricity by nuclear
224,221,Processing of nuclear fuel,AT,process,TJ,AT-Processing of nuclear fuel
225,2950,Private households with employed persons,IN,process,Meuro,IN-Private households with employed persons (95)
226,5218,Research and development,RO,process,Meuro,RO-Research and development (73)
227,5394,"Biogasification of food waste, incl. land application",RU,process,ton,"RU-Biogasification of food waste, incl. land application"
228,7739,Quarrying of stone,WM,process,ton,WM-Quarrying of stone
229,3512,"Manufacture of cement, lime and plaster",JP,process,ton,"JP-Manufacture of cement, lime and plaster"
230,2701,"Lead, zinc and tin production",HR,process,ton,"HR-Lead, zinc and tin production"
231,5254,Cultivation of plant-based fibers,RU,process,ton,RU-Cultivation of plant-based fibers
232,1937,Computer and related activities,FI,process,Meuro,FI-Computer and related activities (72)
233,4140,Processed rice,MT,process,ton,MT-Processed rice
234,2695,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,HR,process,ton,HR-Manufacture of basic iron and steel and of ferro-alloys and first products thereof
235,4675,Casting of metals,NO,process,ton,NO-Casting of metals
236,789,Computer and related activities,BG,process,Meuro,BG-Computer and related activities (72)
237,4037,Production of electricity by biomass and waste,LU,process,TJ,LU-Production of electricity by biomass and waste
238,2228,Production of electricity by gas,DE,process,TJ,DE-Production of electricity by gas
239,5209,Air transport,RO,process,Meuro,RO-Air transport (62)
240,5166,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,RO,process,ton,RO-Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
241,446,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",BE,process,Meuro,"BE-Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)"
242,7652,Distribution and trade of electricity,WF,process,Meuro,WF-Distribution and trade of electricity
243,6253,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",SE,process,ton,"SE-Extraction of natural gas and services related to natural gas extraction, excluding surveying"
244,1120,Public administration and defence; compulsory social security,CN,process,Meuro,CN-Public administration and defence; compulsory social security (75)
245,5364,Retail sale of automotive fuel,RU,process,Meuro,RU-Retail sale of automotive fuel
246,7040,"Waste water treatment, other",US,process,ton,"US-Waste water treatment, other"
247,5695,Hotels and restaurants,SI,process,Meuro,SI-Hotels and restaurants (55)
248,5545,Computer and related activities,SK,process,Meuro,SK-Computer and related activities (72)
249,3095,Incineration of waste: Textiles,ID,process,ton,ID-Incineration of waste: Textiles
250,6342,Distribution of gaseous fuels through mains,SE,process,Meuro,SE-Distribution of gaseous fuels through mains
251,5460,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear",SK,process,ton,"SK-Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)"
252,3735,Post and telecommunications,LV,process,Meuro,LV-Post and telecommunications (64)
253,3059,Transmission of electricity,ID,process,Meuro,ID-Transmission of electricity
254,6316,"Manufacture of fabricated metal products, except machinery and equipment",SE,process,ton,"SE-Manufacture of fabricated metal products, except machinery and equipment (28)"
255,4838,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,PL,process,ton,PL-Re-processing of secondary other non-ferrous metals into new other non-ferrous metals
256,4309,Manufacture of tobacco products,MX,process,ton,MX-Manufacture of tobacco products (16)
257,599,Transmission of electricity,BR,process,Meuro,BR-Transmission of electricity
258,878,"Plastics, basic",CA,process,ton,"CA-Plastics, basic"
259,59,Re-processing of secondary plastic into new plastic,AU,process,ton,AU-Re-processing of secondary plastic into new plastic
260,4906,"Composting of paper and wood, incl. land application",PL,process,ton,"PL-Composting of paper and wood, incl. land application"
261,3901,"Insurance and pension funding, except compulsory social security",LT,process,Meuro,"LT-Insurance and pension funding, except compulsory social security (66)"
262,5497,Manufacture of machinery and equipment n.e.c.,SK,process,ton,SK-Manufacture of machinery and equipment n.e.c. (29)
263,3953,"Forestry, logging and related service activities",LU,process,ton,"LU-Forestry, logging and related service activities (02)"
264,4367,Production of electricity by solar thermal,MX,process,TJ,MX-Production of electricity by solar thermal
265,3577,Computer and related activities,JP,process,Meuro,JP-Computer and related activities (72)
266,53,Paper,AU,process,ton,AU-Paper
267,5907,"Cultivation of vegetables, fruit, nuts",KR,process,ton,"KR-Cultivation of vegetables, fruit, nuts"
268,2511,Pulp,HU,process,ton,HU-Pulp
269,1229,Other non-ferrous metal production,CY,process,ton,CY-Other non-ferrous metal production
270,5340,Manufacture of furniture; manufacturing n.e.c.,RU,process,ton,RU-Manufacture of furniture; manufacturing n.e.c. (36)
271,2073,Production of electricity by Geothermal,FR,process,TJ,FR-Production of electricity by Geothermal
272,1176,Mining of precious metal ores and concentrates,CY,process,ton,CY-Mining of precious metal ores and concentrates
273,1671,Quarrying of stone,EE,process,ton,EE-Quarrying of stone
274,905,Manufacture of machinery and equipment n.e.c.,CA,process,ton,CA-Manufacture of machinery and equipment n.e.c. (29)
275,85,Manufacture of machinery and equipment n.e.c.,AU,process,ton,AU-Manufacture of machinery and equipment n.e.c. (29)
276,606,Re-processing of secondary construction material into aggregates,BR,process,ton,BR-Re-processing of secondary construction material into aggregates
277,6827,Production of electricity by solar thermal,GB,process,TJ,GB-Production of electricity by solar thermal
278,5082,Private households with employed persons,PT,process,Meuro,PT-Private households with employed persons (95)
279,6145,"Lead, zinc and tin production",ES,process,ton,"ES-Lead, zinc and tin production"
280,4963,Manufacture of beverages,PT,process,ton,PT-Manufacture of beverages
281,5473,P- and other fertiliser,SK,process,ton,SK-P- and other fertiliser
282,4081,Incineration of waste: Oil/Hazardous waste,LU,process,ton,LU-Incineration of waste: Oil/Hazardous waste
283,1994,Mining of nickel ores and concentrates,FR,process,ton,FR-Mining of nickel ores and concentrates
284,3557,Construction,JP,process,Meuro,JP-Construction (45)
285,4621,"Mining of lead, zinc and tin ores and concentrates",NO,process,ton,"NO-Mining of lead, zinc and tin ores and concentrates"
286,7532,"Waste water treatment, other",WE,process,ton,"WE-Waste water treatment, other"
287,5559,"Biogasification of paper, incl. land application",SK,process,ton,"SK-Biogasification of paper, incl. land application"
288,6565,"Cultivation of sugar cane, sugar beet",TR,process,ton,"TR-Cultivation of sugar cane, sugar beet"
289,1494,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",DK,process,ton,"DK-Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)"
290,1912,Distribution and trade of electricity,FI,process,Meuro,FI-Distribution and trade of electricity
